Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,2/5/2021,563,N652JB,FLL,18:20,18:16,177,179,-4,18:39,23,0,0,0,0,0
B6,2/7/2021,312,N339JB,BOS,11:31,11:29,131,128,-2,11:44,15,0,0,0,0,0
B6,2/7/2021,563,N570JB,FLL,18:20,18:16,177,177,-4,18:34,18,0,0,0,0,0
B6,2/8/2021,312,N339JB,BOS,11:31,11:15,131,128,-16,11:42,27,0,0,0,0,0
B6,2/8/2021,563,N509JB,FLL,18:20,18:18,177,205,-2,18:58,40,0,0,26,0,0
B6,2/9/2021,563,N547JB,FLL,18:20,18:14,177,173,-6,18:31,17,0,0,0,0,0
B6,2/10/2021,563,N656JB,FLL,18:20,18:11,177,180,-9,18:30,19,0,0,0,0,0
B6,2/11/2021,312,N184JB,BOS,11:31,12:06,131,115,35,12:20,14,0,0,0,0,19
B6,2/11/2021,563,N998JE,FLL,6:00,6:48,187,172,48,7:03,15,0,33,0,0,0
B6,2/11/2021,906,N329JB,JFK,10:27,11:14,130,119,47,11:35,21,36,0,0,0,0
B6,2/12/2021,312,N183JB,BOS,11:31,11:26,131,111,-5,11:38,12,0,0,0,0,0
B6,2/12/2021,563,N913JB,FLL,6:00,5:53,187,172,-7,6:09,16,0,0,0,0,0
B6,2/12/2021,906,N304JB,JFK,10:27,10:12,130,105,-15,10:25,13,0,0,0,0,0
B6,2/13/2021,312,N198JB,BOS,11:31,11:27,131,152,-4,12:16,49,0,0,17,0,0
B6,2/13/2021,563,N959JB,FLL,6:00,6:11,187,227,11,7:05,54,11,0,40,0,0
B6,2/14/2021,312,N324JB,BOS,11:31,11:19,131,124,-12,11:35,16,0,0,0,0,0
B6,2/14/2021,563,N955JB,FLL,6:00,5:52,187,195,-8,6:10,18,0,0,0,0,0
B6,2/14/2021,906,N247JB,JFK,10:27,10:15,130,108,-12,10:27,12,0,0,0,0,0
B6,2/15/2021,312,N179JB,BOS,11:31,13:31,131,142,120,14:04,33,22,0,11,0,98
B6,2/15/2021,563,N998JE,FLL,6:00,5:57,187,225,-3,6:39,42,0,0,35,0,0
